region,year,category,mode,bev_sales,phev_sales,bev_market_share_pct,phev_market_share_pct
Australia,2011,Historical,Cars,49.0,,100.0,
Australia,2012,Historical,Cars,170.0,80.0,68.0,32.0
Australia,2013,Historical,Cars,190.0,100.0,65.51724137931035,34.48275862068966
Australia,2014,Historical,Cars,370.0,950.0,28.030303030303028,71.96969696969697
Australia,2015,Historical,Cars,760.0,1000.0,43.18181818181818,56.81818181818182
Australia,2016,Historical,Cars,670.0,700.0,48.9051094890511,51.09489051094891
Australia,2017,Historical,Cars,1200.0,1100.0,52.17391304347826,47.82608695652174
Australia,2018,Historical,Cars,1800.0,1800.0,50.0,50.0
Australia,2019,Historical,Cars,6300.0,2900.0,68.47826086956522,31.521739130434785
Australia,2020,Historical,Cars,5200.0,1700.0,75.36231884057972,24.637681159420293
Australia,2021,Historical,Cars,17000.0,3400.0,83.33333333333334,16.666666666666664
Australia,2022,Historical,Cars,33000.0,5900.0,84.83290488431876,15.167095115681233
Australia,2023,Historical,Cars,87000.0,11000.0,88.77551020408163,11.224489795918368
Austria,2013,Historical,Cars,650.0,,100.0,
Austria,2014,Historical,Cars,1700.0,,100.0,
Austria,2015,Historical,Cars,1700.0,1100.0,60.71428571428571,39.285714285714285
Austria,2016,Historical,Cars,3800.0,1200.0,76.0,24.0
Austria,2017,Historical,Cars,5400.0,1700.0,76.05633802816901,23.943661971830984
Austria,2018,Historical,Cars,6800.0,2300.0,74.72527472527473,25.274725274725274
Austria,2019,Historical,Cars,9300.0,2200.0,80.8695652173913,19.130434782608695
Austria,2020,Historical,Cars,16000.0,7600.0,67.79661016949152,32.20338983050847
Austria,2021,Historical,Cars,33000.0,15000.0,68.75,31.25
Austria,2022,Historical,Cars,34000.0,13000.0,72.3404255319149,27.659574468085108
Austria,2023,Historical,Cars,48000.0,17000.0,73.84615384615385,26.153846153846157
Belgium,2010,Historical,Cars,48.0,8.0,85.71428571428571,14.285714285714285
Belgium,2010,Historical,Vans,7.0,,100.0,
Belgium,2011,Historical,Cars,280.0,16.0,94.5945945945946,5.405405405405405
