region,ev_stock_2023,total_stations_2025,total_connectors_2025,evs_per_station,evs_per_connector,infrastructure_deficit,deficit_pct,adequacy_category,ev_sales_2023
Australia,181065.0,39,66,4642.692307692308,2743.409090909091,2713.409090909091,9044.69696969697,Insufficient,98006.0
Austria,221089.0,43,67,5141.604651162791,3299.8358208955224,3269.8358208955224,10899.452736318408,Insufficient,65009.0
Belgium,470099.0,21,34,22385.666666666668,13826.441176470587,13796.441176470587,45988.13725490196,Insufficient,193009.0
Brazil,92003.0,199,330,462.32663316582915,278.7969696969697,248.7969696969697,829.3232323232324,Insufficient,52000.0
Canada,550320.0,4135,5075,133.0882708585248,108.43743842364532,78.43743842364532,261.45812807881777,Insufficient,171013.0
China,21800760.0,2003,2003,10884.053919121317,10884.053919121317,10854.053919121317,36180.179730404394,Insufficient,8100520.0
Costa Rica,9000.0,10,20,900.0,450.0,420.0,1400.0,Insufficient,4900.0
Denmark,310230.0,296,912,1048.0743243243244,340.1644736842105,310.1644736842105,1033.8815789473683,Insufficient,80001.0
Finland,224002.0,20,36,11200.1,6222.277777777777,6192.277777777777,20640.925925925923,Insufficient,48000.0
France,1570890.0,112,149,14025.80357142857,10542.885906040268,10512.885906040268,35042.95302013423,Insufficient,470310.0
Germany,2502400.0,69,95,36266.666666666664,26341.052631578947,26311.052631578947,87703.50877192982,Insufficient,700260.0
Greece,34000.0,3,3,11333.333333333334,11333.333333333334,11303.333333333334,37677.777777777774,Insufficient,17000.0
India,150393.0,27,34,5570.111111111111,4423.323529411765,4393.323529411765,14644.411764705881,Insufficient,82270.0
Israel,151000.0,10,14,15100.0,10785.714285714286,10755.714285714286,35852.380952380954,Insufficient,65000.0
Italy,490059.0,134,183,3657.1567164179105,2677.9180327868853,2647.9180327868853,8826.393442622952,Insufficient,136002.0
Japan,547900.0,16,16,34243.75,34243.75,34213.75,114045.83333333333,Insufficient,140320.0
Mexico,40000.0,8,13,5000.0,3076.923076923077,3046.923076923077,10156.410256410258,Insufficient,15200.0
Netherlands,700620.0,95,308,7374.9473684210525,2274.7402597402597,2244.7402597402597,7482.467532467533,Insufficient,210065.0
New Zealand,100020.0,2,4,50010.0,25005.0,24975.0,83250.0,Insufficient,38004.0
Norway,900290.0,1,8,900290.0,112536.25,112506.25,375020.8333333334,Insufficient,110006.0
Poland,99210.0,13,22,7631.538461538462,4509.545454545455,4479.545454545455,14931.818181818184,Insufficient,30083.0
Portugal,175003.0,1,1,175003.0,175003.0,174973.0,583243.3333333334,Insufficient,63002.0
South Africa,3503.0,3,4,1167.6666666666667,875.75,845.75,2819.1666666666665,Insufficient,1080.0
Spain,360027.0,888,1096,405.43581081081084,328.49178832116786,298.49178832116786,994.9726277372262,Insufficient,122004.0
Sweden,560048.0,13,23,43080.61538461538,24349.91304347826,24319.91304347826,81066.37681159421,Insufficient,171002.0
Switzerland,276240.0,17,30,16249.411764705883,9208.0,9178.0,30593.333333333332,Insufficient,76027.0
Turkiye,81900.0,377,503,217.24137931034483,162.8230616302187,132.8230616302187,442.7435387673956,Insufficient,68700.0
USA,4818000.0,2266,2646,2126.21359223301,1820.8616780045352,1790.8616780045352,5969.538926681784,Insufficient,1393000.0
United Kingdom,1580260.0,36,45,43896.11111111111,35116.88888888889,35086.88888888889,116956.29629629629,Insufficient,450025.0
