region,year,category,mode,powertrain,ev_sales,ev_sales_yoy_growth,ev_stock,ev_stock_yoy_growth,total_stations,total_stations_yoy_growth
Australia,2011,Historical,Cars,EV,,,,,295.0,
Australia,2012,Historical,Cars,EV,,,,,295.0,0.0
Australia,2013,Historical,Cars,EV,,,,,295.0,0.0
Australia,2014,Historical,Cars,EV,,,,,295.0,0.0
Australia,2015,Historical,Cars,EV,,,,,295.0,0.0
Australia,2016,Historical,Cars,EV,,,,,295.0,0.0
Australia,2017,Historical,Cars,EV,,,,,295.0,0.0
Australia,2018,Historical,Cars,EV,,,,,295.0,0.0
Australia,2019,Historical,Cars,EV,,,,,295.0,0.0
Australia,2020,Historical,Cars,EV,,,,,295.0,0.0
Australia,2021,Historical,Cars,EV,,,,,295.0,0.0
Australia,2022,Historical,Cars,EV,,,,,295.0,0.0
Australia,2023,Historical,Cars,EV,,,,,295.0,0.0
Austria,2010,Historical,Cars,EV,,,,,,
Austria,2011,Historical,Cars,EV,,,,,,
Austria,2012,Historical,Cars,EV,,,,,,
Austria,2013,Historical,Cars,EV,,,,,,
Austria,2014,Historical,Cars,EV,,,,,,
Austria,2015,Historical,Cars,EV,,,,,,
Austria,2016,Historical,Cars,EV,,,,,,
Austria,2017,Historical,Cars,EV,,,,,,
Austria,2018,Historical,Cars,EV,,,,,,
Austria,2019,Historical,Cars,EV,,,,,,
Austria,2020,Historical,Cars,EV,,,,,,
Austria,2021,Historical,Cars,EV,,,,,,
Austria,2022,Historical,Cars,EV,,,,,,
Austria,2023,Historical,Cars,EV,,,,,,
Belgium,2010,Historical,Buses,EV,,,,,,
Belgium,2011,Historical,Buses,EV,,,,,,
Belgium,2012,Historical,Buses,EV,,,,,,
Belgium,2013,Historical,Buses,EV,,,,,,
Belgium,2014,Historical,Buses,EV,,,,,,
Belgium,2015,Historical,Buses,EV,,,,,,
Belgium,2016,Historical,Buses,EV,,,,,,
Belgium,2017,Historical,Buses,EV,,,,,,
Belgium,2018,Historical,Buses,EV,,,,,,
Belgium,2019,Historical,Buses,EV,,,,,,
Belgium,2020,Historical,Buses,EV,,,,,,
Belgium,2021,Historical,Buses,EV,,,,,,
Belgium,2022,Historical,Buses,EV,,,,,,
Belgium,2023,Historical,Buses,EV,,,,,,
Belgium,2010,Historical,Cars,EV,,,,,,
Belgium,2011,Historical,Cars,EV,,,,,,
Belgium,2012,Historical,Cars,EV,,,,,,
Belgium,2013,Historical,Cars,EV,,,,,,
Belgium,2014,Historical,Cars,EV,,,,,,
Belgium,2015,Historical,Cars,EV,,,,,,
Belgium,2016,Historical,Cars,EV,,,,,,
Belgium,2017,Historical,Cars,EV,,,,,,
Belgium,2018,Historical,Cars,EV,,,,,,
Belgium,2019,Historical,Cars,EV,,,,,,
Belgium,2020,Historical,Cars,EV,,,,,,
Belgium,2021,Historical,Cars,EV,,,,,,
Belgium,2022,Historical,Cars,EV,,,,,,
Belgium,2023,Historical,Cars,EV,,,,,,
Belgium,2010,Historical,Trucks,EV,,,,,,
Belgium,2011,Historical,Trucks,EV,,,,,,
Belgium,2012,Historical,Trucks,EV,,,,,,
Belgium,2013,Historical,Trucks,EV,,,,,,
Belgium,2014,Historical,Trucks,EV,,,,,,
Belgium,2015,Historical,Trucks,EV,,,,,,
Belgium,2016,Historical,Trucks,EV,,,,,,
Belgium,2017,Historical,Trucks,EV,,,,,,
Belgium,2018,Historical,Trucks,EV,,,,,,
