region,category,parameter,mode,powertrain,unit,value_2022,value_2023,value_2024,growth_rate,threshold,is_small_base,growth_rate_uncapped,fill_method,growth_2022_2023_pct,applied_growth_rate_pct,uncapped_growth_rate_pct,was_capped,note
Australia,Historical,EV charging points,EV,Publicly available fast,charging points,470.0,660.0,926.8085106382979,0.40425531914893614,50.0,False,0.40425531914893614,forward_fill,40.43,40.43,40.43,False,Established market (≥50.0 charging points) - historical growth applied
Australia,Historical,EV charging points,EV,Publicly available slow,charging points,2100.0,2100.0,2100.0,0.0,50.0,False,0.0,forward_fill,0.0,0.0,0.0,False,Established market (≥50.0 charging points) - historical growth applied
Australia,Historical,EV stock share,Cars,EV,percent,0.589999973773956,1.20000004768372,2.440678268559773,1.033898476313273,1.0,False,1.033898476313273,forward_fill,103.39,103.39,103.39,False,Established market (≥1.0 percent) - historical growth applied
Australia,Historical,EV sales,Cars,PHEV,Vehicles,5900.0,11000.0,20508.474576271186,0.864406779661017,100.0,False,0.864406779661017,forward_fill,86.44,86.44,86.44,False,Established market (≥100.0 Vehicles) - historical growth applied
Australia,Historical,EV stock,Cars,PHEV,Vehicles,21000.0,31000.0,45761.90476190476,0.47619047619047616,100.0,False,0.47619047619047616,forward_fill,47.62,47.62,47.62,False,Established market (≥100.0 Vehicles) - historical growth applied
Australia,Historical,EV stock,Cars,FCEV,Vehicles,100.0,65.0,45.5,-0.3,100.0,True,-0.35,forward_fill,-35.0,-30.0,-35.0,True,Small base (<100.0 Vehicles) - capped at 150% (was -35.0%)
Australia,Historical,EV sales share,Cars,EV,percent,5.09999990463257,12.0,28.235294645632838,1.3529412204694033,1.0,False,1.3529412204694033,forward_fill,135.29,135.29,135.29,False,Established market (≥1.0 percent) - historical growth applied
Australia,Historical,EV sales,Cars,BEV,Vehicles,33000.0,87000.0,229363.63636363638,1.6363636363636365,100.0,False,1.6363636363636365,forward_fill,163.64,163.64,163.64,False,Established market (≥100.0 Vehicles) - historical growth applied
Australia,Historical,EV stock,Cars,BEV,Vehicles,67000.0,150000.0,335820.89552238805,1.2388059701492538,100.0,False,1.2388059701492538,forward_fill,123.88,123.88,123.88,False,Established market (≥100.0 Vehicles) - historical growth applied
Australia,Historical,EV sales,Cars,FCEV,Vehicles,15.0,6.0,4.199999999999999,-0.3,100.0,True,-0.6,forward_fill,-60.0,-30.0,-60.0,True,Small base (<100.0 Vehicles) - capped at 150% (was -60.0%)
Austria,Historical,EV stock share,Cars,EV,percent,3.0,4.40000009536743,6.453333613077797,0.46666669845580994,1.0,False,0.46666669845580994,forward_fill,46.67,46.67,46.67,False,Established market (≥1.0 percent) - historical growth applied
Austria,Historical,EV sales share,Cars,EV,percent,22.0,26.0,30.72727272727273,0.18181818181818182,1.0,False,0.18181818181818182,forward_fill,18.18,18.18,18.18,False,Established market (≥1.0 percent) - historical growth applied
Austria,Historical,EV charging points,EV,Publicly available fast,charging points,2600.0,2500.0,2403.846153846154,-0.038461538461538464,50.0,False,-0.038461538461538464,forward_fill,-3.85,-3.85,-3.85,False,Established market (≥50.0 charging points) - historical growth applied
Austria,Historical,EV charging points,EV,Publicly available slow,charging points,13000.0,15000.0,17307.692307692305,0.15384615384615385,50.0,False,0.15384615384615385,forward_fill,15.38,15.38,15.38,False,Established market (≥50.0 charging points) - historical growth applied
Austria,Historical,EV stock,Cars,PHEV,Vehicles,42000.0,61000.0,88595.23809523809,0.4523809523809524,100.0,False,0.4523809523809524,forward_fill,45.24,45.24,45.24,False,Established market (≥100.0 Vehicles) - historical growth applied
Austria,Historical,EV stock,Cars,FCEV,Vehicles,62.0,89.0,127.75806451612904,0.43548387096774194,100.0,True,0.43548387096774194,forward_fill,43.55,43.55,43.55,False,Established market (≥100.0 Vehicles) - historical growth applied
Austria,Historical,EV sales,Cars,FCEV,Vehicles,14.0,9.0,6.3,-0.3,100.0,True,-0.35714285714285715,forward_fill,-35.71,-30.0,-35.71,True,Small base (<100.0 Vehicles) - capped at 150% (was -35.7%)
