region,method1_records,method1_avg_growth,method2_records,method2_avg_growth,total_records
Europe,92,313.5219565217392,46,93.76999999999998,138
World,92,178.86510869565217,46,40.75086956521739,138
China,90,151.99255555555558,45,41.60622222222222,135
Rest of the world,88,10675.828409090911,34,96.21617647058825,122
India,55,843.8649090909092,29,19187.093448275864,84
USA,44,169.57181818181817,22,36.91636363636364,66
Germany,0,,34,53.7735294117647,34
EU27,0,,34,69.255,34
Netherlands,0,,32,96.271875,32
France,0,,31,100.44064516129033,31
Denmark,0,,28,54.08642857142858,28
Sweden,0,,28,35.113214285714285,28
Spain,0,,28,84.00928571428572,28
Belgium,0,,28,155.70892857142854,28
Norway,0,,27,44.61703703703704,27
United Kingdom,0,,27,79.07,27
Switzerland,0,,26,62.15884615384615,26
Canada,0,,24,75.58416666666666,24
Finland,0,,24,73.32000000000001,24
Poland,0,,23,53.34826086956521,23
Japan,0,,23,105.4704347826087,23
Brazil,0,,22,57.175,22
Portugal,0,,22,96.44227272727272,22
Italy,0,,22,45.84318181818182,22
New Zealand,0,,21,23.811904761904763,21
Korea,0,,20,44.571,20
Israel,0,,17,60.06058823529412,17
Iceland,0,,10,16.502999999999997,10
Austria,0,,10,25.257,10
Australia,0,,10,64.06899999999999,10
South Africa,0,,9,47.82333333333333,9
Chile,0,,9,15.76777777777778,9
Greece,0,,8,84.97875,8
Turkiye,0,,8,424.79,8
Mexico,0,,8,52.88875,8
Croatia,0,,3,8.049999999999999,3
Czech Republic,0,,3,52.49000000000001,3
Bulgaria,0,,3,94.04666666666667,3
Hungary,0,,3,21.183333333333334,3
Estonia,0,,3,61.656666666666666,3
Cyprus,0,,3,94.06666666666666,3
Colombia,0,,3,62.879999999999995,3
Costa Rica,0,,3,147.98,3
Ireland,0,,3,32.11666666666667,3
Latvia,0,,3,36.78333333333333,3
Luxembourg,0,,3,43.843333333333334,3
United Arab Emirates,0,,3,40.93,3
Slovenia,0,,3,77.95666666666666,3
Slovakia,0,,3,72.21666666666667,3
Indonesia,0,,2,0.0,2
Lithuania,0,,2,22.47,2
Seychelles,0,,2,182.195,2
Romania,0,,2,23.61,2
Thailand,0,,2,0.0,2
