region,category,parameter,mode,powertrain,unit,value,fill_method,year
China,Projection-STEPS,EV sales,Trucks,PHEV,Vehicles,1560.0,interpolation,2024
China,Projection-STEPS,EV stock,Trucks,PHEV,Vehicles,5400.0,interpolation,2024
China,Projection-STEPS,EV stock,Cars,FCEV,Vehicles,4380.0,interpolation,2024
China,Projection-STEPS,EV stock,Trucks,FCEV,Vehicles,17500.0,interpolation,2024
China,Projection-STEPS,EV sales,Trucks,FCEV,Vehicles,6200.0,interpolation,2024
China,Projection-STEPS,EV stock,Trucks,BEV,Vehicles,410000.0,interpolation,2024
China,Projection-STEPS,EV sales,Trucks,BEV,Vehicles,104000.0,interpolation,2024
China,Projection-STEPS,EV stock,Cars,PHEV,Vehicles,8900000.0,interpolation,2024
China,Projection-STEPS,EV sales,Cars,PHEV,Vehicles,3050000.0,interpolation,2024
China,Projection-STEPS,EV sales,Cars,FCEV,Vehicles,4260.0,interpolation,2024
China,Projection-STEPS,EV stock,Cars,BEV,Vehicles,23000000.0,interpolation,2024
China,Projection-STEPS,EV sales,Cars,BEV,Vehicles,6500000.0,interpolation,2024
China,Projection-STEPS,EV stock,Vans,PHEV,Vehicles,15850.0,interpolation,2024
China,Projection-STEPS,EV stock,Vans,BEV,Vehicles,940000.0,interpolation,2024
China,Projection-STEPS,EV sales,Vans,FCEV,Vehicles,5650.0,interpolation,2024
China,Projection-STEPS,EV stock,Vans,FCEV,Vehicles,9350.0,interpolation,2024
China,Projection-STEPS,EV sales,Vans,BEV,Vehicles,315000.0,interpolation,2024
China,Projection-STEPS,EV stock,Buses,PHEV,Vehicles,36000.0,interpolation,2024
China,Projection-STEPS,EV sales,Buses,PHEV,Vehicles,790.0,interpolation,2024
China,Projection-STEPS,EV stock,Buses,FCEV,Vehicles,12800.0,interpolation,2024
China,Projection-STEPS,EV sales,Buses,FCEV,Vehicles,4100.0,interpolation,2024
China,Projection-STEPS,EV stock,Buses,BEV,Vehicles,730000.0,interpolation,2024
China,Projection-STEPS,EV sales,Buses,BEV,Vehicles,109500.0,interpolation,2024
China,Projection-STEPS,EV stock share,Trucks,EV,percent,1.5,interpolation,2024
China,Projection-STEPS,EV sales share,Trucks,EV,percent,5.39999997615814,interpolation,2024
China,Projection-STEPS,EV stock share,Cars,EV,percent,10.799999952316284,interpolation,2024
China,Projection-STEPS,EV sales share,Cars,EV,percent,43.5,interpolation,2024
China,Projection-STEPS,EV stock share,Vans,EV,percent,4.799999952316285,interpolation,2024
China,Projection-STEPS,EV sales share,Vans,EV,percent,18.5,interpolation,2024
China,Projection-STEPS,EV stock share,Buses,EV,percent,28.5,interpolation,2024
China,Projection-STEPS,EV sales share,Buses,EV,percent,50.0,interpolation,2024
China,Projection-APS,EV charging points,EV,Publicly available fast,charging points,1650000.0,interpolation,2024
China,Projection-APS,EV charging points,EV,Publicly available slow,charging points,2050000.0,interpolation,2024
China,Projection-APS,EV stock share,Trucks,EV,percent,1.5,interpolation,2024
China,Projection-APS,EV sales share,Trucks,EV,percent,5.39999997615814,interpolation,2024
China,Projection-APS,EV stock share,Cars,EV,percent,10.799999952316284,interpolation,2024
China,Projection-APS,EV sales share,Cars,EV,percent,43.5,interpolation,2024
China,Projection-APS,EV stock share,Vans,EV,percent,4.799999952316285,interpolation,2024
China,Projection-APS,EV sales share,Vans,EV,percent,18.5,interpolation,2024
China,Projection-APS,EV stock,Cars,FCEV,Vehicles,14880.0,interpolation,2024
China,Projection-APS,EV sales,Cars,FCEV,Vehicles,13760.0,interpolation,2024
China,Projection-APS,EV stock,Cars,BEV,Vehicles,23500000.0,interpolation,2024
China,Projection-APS,EV sales,Cars,BEV,Vehicles,6850000.0,interpolation,2024
China,Projection-APS,EV stock,Vans,PHEV,Vehicles,14850.0,interpolation,2024
China,Projection-APS,EV sales,Vans,FCEV,Vehicles,5350.0,interpolation,2024
